Variable,D1,D2,meta_indicatorid
Población ocupada por posición en la ocupación,Total,Trabajadores por cuenta propia,289275
Población ocupada por posición en la ocupación,Total,Trabajadores no remunerados,289276
Población ocupada por posición en la ocupación,Total,No especificado,289277
Población subocupada por posición en la ocupación,Total,Total,289278
Población subocupada por posición en la ocupación,Total,Trabajadores subordinados remunerados,289279
Población subocupada por posición en la ocupación,Total,Empleadores,289280
Población subocupada por posición en la ocupación,Total,Trabajadores por cuenta propia,289281
Población subocupada por posición en la ocupación,Total,Trabajadores no remunerados,289282
Población subocupada por posición en la ocupación,Total,No especificado,289283
Población subocupada por sector de actividad económica,Total,Total,289284
Población subocupada por sector de actividad económica,Total,Primario,289285
Población subocupada por sector de actividad económica,Total,Secundario,289286
Población subocupada por sector de actividad económica,Total,Terciario,289287
Población subocupada por sector de actividad económica,Total,No especificado,289288
Población desocupada,Total,Total,289289
Población desocupada,Total,Con experiencia,289290
Población desocupada,Total,Sin experiencia,289291
Población total,Hombres,Total,289292
Población de 15 años y más,Hombres,Total,289293
Población ocupada por sector de actividad económica,Hombres,Total,289300
Población ocupada por sector de actividad económica,Hombres,Primario,289301
Población ocupada por sector de actividad económica,Hombres,Secundario,289302
Población ocupada por sector de actividad económica,Hombres,Terciario,289303
Población ocupada por sector de actividad económica,Hombres,No especificado,289304
Población ocupada por duración de la jornada de trabajo,Hombres,Total,289305
Población ocupada por duración de la jornada de trabajo,Hombres,Ausentes temporales con vínculo laboral,289306
Población ocupada por duración de la jornada de trabajo,Hombres,Menos de 15 horas,289307
Población ocupada por duración de la jornada de trabajo,Hombres,De 15 a 34 horas,289308
Población ocupada por duración de la jornada de trabajo,Hombres,De 35 a 48 horas,289309
Población ocupada por duración de la jornada de trabajo,Hombres,Más de 48 horas,289310
Población ocupada por duración de la jornada de trabajo,Hombres,No especificado,289311
Población ocupada por ámbito y tamaño de la unidad económica,Hombres,Total,289312
Población ocupada por ámbito y tamaño de la unidad económica,Hombres,Ámbito agropecuario,289313
Población ocupada por ámbito y tamaño de la unidad económica,Hombres,No especificado,289321
Población ocupada por posición en la ocupación,Hombres,Total,289322
Población ocupada por posición en la ocupación,Hombres,Trabajadores subordinados remunerados,289323
Población ocupada por posición en la ocupación,Hombres,Empleadores,289324
Población ocupada por posición en la ocupación,Hombres,Trabajadores por cuenta propia,289325
Población ocupada por posición en la ocupación,Hombres,Trabajadores no remunerados,289326
Población ocupada por posición en la ocupación,Hombres,No especificado,289327
Población subocupada por posición en la ocupación,Hombres,Total,289328
Población subocupada por posición en la ocupación,Hombres,Trabajadores subordinados remunerados,289329
Población subocupada por posición en la ocupación,Hombres,Empleadores,289330
Población subocupada por posición en la ocupación,Hombres,Trabajadores por cuenta propia,289331
Población subocupada por posición en la ocupación,Hombres,Trabajadores no remunerados,289332
Población subocupada por posición en la ocupación,Hombres,No especificado,289333
Población subocupada por sector de actividad económica,Hombres,Total,289334
Población subocupada por sector de actividad económica,Hombres,Primario,289335
Población subocupada por sector de actividad económica,Hombres,Secundario,289336
Población subocupada por sector de actividad económica,Hombres,Terciario,289337
Población subocupada por sector de actividad económica,Hombres,No especificado,289338
Población desocupada,Hombres,Total,289339
Población desocupada,Hombres,Con experiencia,289340
Población desocupada,Hombres,Sin experiencia,289341
Población total,Mujeres,Total,289342
Población de 15 años y más,Mujeres,Total,289343
Población ocupada por sector de actividad económica,Mujeres,Total,289350
Población ocupada por sector de actividad económica,Mujeres,Primario,289351
Población ocupada por sector de actividad económica,Mujeres,Secundario,289352
Población ocupada por sector de actividad económica,Mujeres,Terciario,289353
Población ocupada por sector de actividad económica,Mujeres,No especificado,289354
Población ocupada por duración de la jornada de trabajo,Mujeres,Total,289355
Población ocupada por duración de la jornada de trabajo,Mujeres,Ausentes temporales con vínculo laboral,289356
Población ocupada por duración de la jornada de trabajo,Mujeres,Menos de 15 horas,289357
Población ocupada por duración de la jornada de trabajo,Mujeres,De 15 a 34 horas,289358
Población ocupada por duración de la jornada de trabajo,Mujeres,De 35 a 48 horas,289359
Población ocupada por duración de la jornada de trabajo,Mujeres,Más de 48 horas,289360
Población ocupada por duración de la jornada de trabajo,Mujeres,No especificado,289361
Población ocupada por ámbito y tamaño de la unidad económica,Mujeres,Total,289362
Población ocupada por ámbito y tamaño de la unidad económica,Mujeres,Ámbito agropecuario,289363
Población ocupada por ámbito y tamaño de la unidad económica,Mujeres,No especificado,289371
Población ocupada por posición en la ocupación,Mujeres,Total,289372
Población ocupada por posición en la ocupación,Mujeres,Trabajadores subordinados remunerados,289373
Población ocupada por posición en la ocupación,Mujeres,Empleadores,289374
Población ocupada por posición en la ocupación,Mujeres,Trabajadores por cuenta propia,289375
Población ocupada por posición en la ocupación,Mujeres,Trabajadores no remunerados,289376
Población ocupada por posición en la ocupación,Mujeres,No especificado,289377
Población subocupada por posición en la ocupación,Mujeres,Total,289378
Población subocupada por posición en la ocupación,Mujeres,Trabajadores subordinados remunerados,289379
Población subocupada por posición en la ocupación,Mujeres,Empleadores,289380
Población subocupada por posición en la ocupación,Mujeres,Trabajadores por cuenta propia,289381
Población subocupada por posición en la ocupación,Mujeres,Trabajadores no remunerados,289382
Población subocupada por posición en la ocupación,Mujeres,No especificado,289383
Población subocupada por sector de actividad económica,Mujeres,Total,289384
Población subocupada por sector de actividad económica,Mujeres,Primario,289385
Población subocupada por sector de actividad económica,Mujeres,Secundario,289386
Población subocupada por sector de actividad económica,Mujeres,Terciario,289387
Población subocupada por sector de actividad económica,Mujeres,No especificado,289388
Población desocupada,Mujeres,Total,289389
Población desocupada,Mujeres,Con experiencia,289390
Población desocupada,Mujeres,Sin experiencia,289391
