Variable,D1,D2,meta_indicatorid
Población subocupada por posición,Total,Empleadores,289280
Población subocupada por posición,Total,Trabajadores por cuenta propia,289281
Población subocupada por posición,Total,Trabajadores no remunerados,289282
Población subocupada por posición,Total,No especificado,289283
Población subocupada por sector,Total,Total,289284
Población subocupada por sector,Total,Primario,289285
Población subocupada por sector,Total,Secundario,289286
Población subocupada por sector,Total,Terciario,289287
Población subocupada por sector,Total,No especificado,289288
Población desocupada,Total,Total,289289
Población desocupada,Total,Con experiencia,289290
Población desocupada,Total,Sin experiencia,289291
Población total,Hombres,Total,289292
Población de 15 años y más,Hombres,Total,289293
Población ocupada por sector,Hombres,Total,289300
Población ocupada por sector,Hombres,Primario,289301
Población ocupada por sector,Hombres,Secundario,289302
Población ocupada por sector,Hombres,Terciario,289303
Población ocupada por sector,Hombres,No especificado,289304
Población ocupada por duración jornada,Hombres,Total,289305
Población ocupada por duración jornada,Hombres,Ausentes temporales con vínculo laboral,289306
Población ocupada por duración jornada,Hombres,Menos de 15 horas,289307
Población ocupada por duración jornada,Hombres,De 15 a 34 horas,289308
Población ocupada por duración jornada,Hombres,De 35 a 48 horas,289309
Población ocupada por duración jornada,Hombres,Más de 48 horas,289310
Población ocupada por duración jornada,Hombres,No especificado,289311
Población ocupada por ámbito,Hombres,Total,289312
Población ocupada por ámbito,Hombres,Ámbito agropecuario,289313
Población ocupada por ámbito,Hombres,No especificado,289321
Población ocupada por posición,Hombres,Total,289322
Población ocupada por posición,Hombres,Trabajadores subordinados remunerados,289323
Población ocupada por posición,Hombres,Empleadores,289324
Población ocupada por posición,Hombres,Trabajadores por cuenta propia,289325
Población ocupada por posición,Hombres,Trabajadores no remunerados,289326
Población ocupada por posición,Hombres,No especificado,289327
Población subocupada por posición,Hombres,Total,289328
Población subocupada por posición,Hombres,Trabajadores subordinados remunerados,289329
Población subocupada por posición,Hombres,Empleadores,289330
Población subocupada por posición,Hombres,Trabajadores por cuenta propia,289331
Población subocupada por posición,Hombres,Trabajadores no remunerados,289332
Población subocupada por posición,Hombres,No especificado,289333
Población subocupada por sector,Hombres,Total,289334
Población subocupada por sector,Hombres,Primario,289335
Población subocupada por sector,Hombres,Secundario,289336
Población subocupada por sector,Hombres,Terciario,289337
Población subocupada por sector,Hombres,No especificado,289338
Población desocupada,Hombres,Total,289339
Población desocupada,Hombres,Con experiencia,289340
Población desocupada,Hombres,Sin experiencia,289341
Población total,Mujeres,Total,289342
Población de 15 años y más,Mujeres,Total,289343
Población ocupada por sector,Mujeres,Total,289350
Población ocupada por sector,Mujeres,Primario,289351
Población ocupada por sector,Mujeres,Secundario,289352
Población ocupada por sector,Mujeres,Terciario,289353
Población ocupada por sector,Mujeres,No especificado,289354
Población ocupada por duración jornada,Mujeres,Total,289355
Población ocupada por duración jornada,Mujeres,Ausentes temporales con vínculo laboral,289356
Población ocupada por duración jornada,Mujeres,Menos de 15 horas,289357
Población ocupada por duración jornada,Mujeres,De 15 a 34 horas,289358
Población ocupada por duración jornada,Mujeres,De 35 a 48 horas,289359
Población ocupada por duración jornada,Mujeres,Más de 48 horas,289360
Población ocupada por duración jornada,Mujeres,No especificado,289361
Población ocupada por ámbito,Mujeres,Total,289362
Población ocupada por ámbito,Mujeres,Ámbito agropecuario,289363
Población ocupada por ámbito,Mujeres,No especificado,289371
Población ocupada por posición,Mujeres,Total,289372
Población ocupada por posición,Mujeres,Trabajadores subordinados remunerados,289373
Población ocupada por posición,Mujeres,Empleadores,289374
Población ocupada por posición,Mujeres,Trabajadores por cuenta propia,289375
Población ocupada por posición,Mujeres,Trabajadores no remunerados,289376
Población ocupada por posición,Mujeres,No especificado,289377
Población subocupada por posición,Mujeres,Total,289378
Población subocupada por posición,Mujeres,Trabajadores subordinados remunerados,289379
Población subocupada por posición,Mujeres,Empleadores,289380
Población subocupada por posición,Mujeres,Trabajadores por cuenta propia,289381
Población subocupada por posición,Mujeres,Trabajadores no remunerados,289382
Población subocupada por posición,Mujeres,No especificado,289383
Población subocupada por sector,Mujeres,Total,289384
Población subocupada por sector,Mujeres,Primario,289385
Población subocupada por sector,Mujeres,Secundario,289386
Población subocupada por sector,Mujeres,Terciario,289387
Población subocupada por sector,Mujeres,No especificado,289388
Población desocupada,Mujeres,Total,289389
Población desocupada,Mujeres,Con experiencia,289390
Población desocupada,Mujeres,Sin experiencia,289391
Conflictos de trabajo,Surgidos,Total,1007000012
Conflictos de trabajo,Solucionados,Total,1007000013
Huelgas,Estalladas,Total,1007000014
Huelgas,Solucionadas,Total,1007000015
Población ocupada,Por nivel de ingreso,Hasta 1 salario mínimo. Total,6200032080
Población ocupada,Por nivel de ingreso,Hasta 1 salario mínimo. Hombres,6200032081
Población ocupada,Por nivel de ingreso,Hasta 1 salario mínimo. Mujeres,6200032082
Población ocupada,Por nivel de ingreso,Más de 1 y hasta 2 salarios mínimos. Total,6200032083
Población ocupada,Por nivel de ingreso,Más de 1 y hasta 2 salarios mínimos. Hombres,6200032084
Población ocupada,Por nivel de ingreso,Más de 1 y hasta 2 salarios mínimos. Mujeres,6200032085
Población ocupada,Por nivel de ingreso,Más de 2 y hasta 3 salarios mínimos. Total,6200032086
Población ocupada,Por nivel de ingreso,Más de 2 y hasta 3 salarios mínimos. Hombres,6200032087
Población ocupada,Por nivel de ingreso,Más de 2 y hasta 3 salarios mínimos. Mujeres,6200032088
Población ocupada,Por nivel de ingreso,Más de 3 y hasta 5 salarios mínimos. Total,6200032089
Población ocupada,Por nivel de ingreso,Más de 3 y hasta 5 salarios mínimos. Hombres,6200032090
Población ocupada,Por nivel de ingreso,Más de 3 y hasta 5 salarios mínimos. Mujeres,6200032091
Población ocupada,Por nivel de ingreso,Más de 5 salarios mínimos. Total,6200032092
Población ocupada,Por nivel de ingreso,Más de 5 salarios mínimos. Hombres,6200032093
Población ocupada,Por nivel de ingreso,Más de 5 salarios mínimos. Mujeres,6200032094
Población ocupada,Por nivel de ingreso,Sin ingresos. Total,6200032095
Población ocupada,Por nivel de ingreso,Sin ingresos. Hombres,6200032096
Población ocupada,Por nivel de ingreso,Sin ingresos. Mujeres,6200032097
